item_id,item_name,available_stock,stock_on_hand
4138545000004949045,Flat Bar - Aluminum (1/4 x 2),68.0,68.0
4138545000004949036,Flat Bar - Aluminum (1/4 x 2.33),131.0,131.0
4138545000004949027,Flat Bar - Aluminum (1/4 x 3),54.0,54.0
4138545000004949072,Flat Bar - Aluminum (1/4 x 3/4),471.0,471.0
4138545000004949009,Flat Bar - Aluminum (3/8 x 2),91.0,91.0
4138545000004949018,Flat Bar - Aluminum (3/8 x 3),64.0,64.0
4138545000002006233,Fuse Cut Out (Porcelain),109.0,109.0
4138545000002006251,Fuselink,99.0,99.0
4138545000002006242,Lightning Arrester,170.0,170.0
4138545000000868003,Micro Tape (Densilflex),64.0,64.0
4138545000000869001,Mylar,635.4,635.4
4138545000005848196,P200 BOX for Aluminum Round Wire Enamel - #10,0.0,0.0
4138545000005848205,P200 BOX for Aluminum Round Wire Enamel - #11,0.0,0.0
4138545000005848214,P200 BOX for Aluminum Round Wire Enamel - #12,0.0,0.0
4138545000005848223,P200 BOX for Aluminum Round Wire Enamel - #13,0.0,0.0
4138545000005848232,P200 BOX for Aluminum Round Wire Enamel - #14,0.0,0.0
4138545000005848241,P200 BOX for Aluminum Round Wire Enamel - #15,0.0,0.0
4138545000005848250,P200 BOX for Aluminum Round Wire Enamel - #16,0.0,0.0
4138545000005848259,P200 BOX for Aluminum Round Wire Enamel - #6,0.0,0.0
4138545000005848169,P200 BOX for Aluminum Round Wire Enamel - #7,0.0,0.0
4138545000005848178,P200 BOX for Aluminum Round Wire Enamel - #8,0.0,0.0
4138545000005848187,P200 BOX for Aluminum Round Wire Enamel - #9,2.0,2.0
4138545000008856001,Pad Mounted Spade Secondary 1200a (Black),18.0,18.0
4138545000008857001,Pad Mounted Spade Secondary 1200a (Gray With LOCK),16.0,16.0
4138545000004034010,Phase Changer 30kva,0.0,0.0
4138545000008999341,Phase Changer 50kva,1.0,1.0
4138545000008693285,Porcelain 10 -50kva,520.0,520.0
4138545000000076944,Pressed Board 1/16,217.0,217.0
4138545000000076953,Pressed Board 1/32,64.0,64.0
4138545000000076962,Pressed Board 1/8,136.0,136.0
4138545000000219046,Pressure Relief Valve,1865.0,1865.0
4138545000005870028,Primary Bushing - Kor 15kv,376.0,376.0
4138545000008092001,Primary Bushing 100a,44.0,44.0
4138545000000076935,Primary Bushing 15 KVA,413.0,413.0
4138545000001119059,Primary Bushing 18kv,525.0,525.0
4138545000004119312,Primary Connector - 11mm,0.0,0.0
4138545000007170001,Primary Connector - 15Kva,450.0,450.0
4138545000002431059,Red Pulley SM25,1088.0,1088.0
4138545000002431068,Red Pulley SM35,351.0,351.0
4138545000009407001,Red Pulley SM45,600.0,600.0
4138545000002431077,Red Pulley SM51,1147.0,1147.0
4138545000000890001,Round Copper Wire #10,0.0,0.0
4138545000005629088,Round Copper Wire #13,0.0,0.0
4138545000005629097,Round Copper Wire #14,0.0,0.0
4138545000005629106,Round Copper Wire #15,0.0,0.0
4138545000005629079,Round Copper Wire #9,0.0,0.0
4138545000000910014,Round Copper Wire - Heavy Formex #10,0.0,0.0
4138545000000910023,Round Copper Wire - Heavy Formex #11,0.3,0.3
4138545000000910032,Round Copper Wire - Heavy Formex #12,0.0,0.0
4138545000000910041,Round Copper Wire - Heavy Formex #13,0.0,0.0
4138545000000910050,Round Copper Wire - Heavy Formex #14,0.0,0.0
4138545000000910059,Round Copper Wire - Heavy Formex #15,0.0,0.0
4138545000000910068,Round Copper Wire - Heavy Formex #16,0.0,0.0
4138545000000910077,Round Copper Wire - Heavy Formex #17,0.0,0.0
4138545000006048081,Round Copper Wire - Heavy Formex #9,197.34,197.34
4138545000000428011,Rubber Cork 4.8mm,0.0,0.0
4138545000001554039,Rubber Cork 6mm 2 X 1 Meter,14.0,14.0
4138545000001309060,Rubber Gasket 1/8 (3mm),,
4138545000001309051,Rubber Gasket Sheet 1/4 (6mm),11.06,11.06
4138545000007262001,Rubber Gasket Sheet 1/4 (6mm) - (per KG),0.0,0.0
4138545000000834001,Rubber Seal - 8.5mm,0.0,0.0
4138545000000455019,Secondary Bushing -  Spade 1.2/1200a,25.0,25.0
4138545000006586131,Secondary Bushing - 125A 1/2 Connector x 3/8 Rod,776.0,776.0
4138545000005870019,Secondary Bushing - 1600a,6.0,6.0
4138545000009191047,Secondary Bushing - Double Eye 600A - (2 piece type),0.0,0.0
4138545000009697066,Secondary Bushing - Single Eye 600A - (2 piece type),136.0,136.0
4138545000007143001,Secondary Bushing - Spade 2 Holes,200.0,200.0
4138545000009191036,Secondary Bushing - Spade 600A - (2 piece type),0.0,0.0
4138545000001131001,Secondary Bushing - Spade 833A,221.0,221.0
4138545000000101021,Secondary Bushing 1.2KV/208A,1197.0,1197.0
4138545000002209009,Secondary Bushing 1.2KV/250A,2.0,2.0
4138545000001131028,Secondary Bushing 125a 3/8 Connector X 1/2 Rod,107.0,107.0
4138545000002399053,Secondary Bushing 3/8 x 3/8,300.0,300.0
4138545000002209018,Secondary Bushing Double Eye 1.2KV/833A,134.0,134.0
4138545000000427001,Secondary Bushing Single Eye 1.2KV/625A,574.0,574.0
4138545000006586144,Secondary Spade Porcelain 1200a,85.0,85.0
4138545000004877165,Secondary Spade Porcelain 800a,300.0,300.0
4138545000002966107,Shipping Cost,,
4138545000008255001,Silicon Core - 100KVA,0.0,0.0
4138545000005740019,Silicon Core - 15KVA,0.0,0.0
4138545000005740010,Silicon Core - 25KVA,0.0,0.0
4138545000005740001,Silicon Core - 50KVA,0.0,0.0
4138545000004663001,Silicon Core - SAMPLE,0.0,0.0
4138545000002006260,Spool Insulator 53-1,199.0,199.0
4138545000002006269,Spool Insulator 53-4,199.0,199.0
4138545000002006278,Spool Insulator 55-5,179.0,179.0
